seq,name,price,price_sort,price_str,price2,price2_sort,price2_str,regular_course,capacity,factory,image,onclick,url
1,プラズマローゲンS,"～11,000･～14,000",270,"10,800円","～5,500･～14,000",240,"5,400円",あり,30日分,GMP認定工場,thum01.png,"ga('send','event','result','click','');",https://plasmalogen-s.jp/lp/5/
2,プラズマローゲンサプリメント,"～14,000",290,"13,500円","～14,000",300,"13,500円",なし,記載なし,GMP認定工場,thum02.png,"ga('send','event','result','click','');",http://www.suppli-tm.com/lp/pls5/
3,プラズマローゲンEX,"～11,000･～14,000",210,"5,378円","～3,000･～5,500･～14,000",110,756円,あり,15日分,GMP認定工場,thum03.png,"ga('send','event','result','click','');",https://psolshop.web-store.jp/product-buy-form/plasmalogen_2018
4,プラズマローゲン＆レッドDHA,"～14,000",300,"13,800円","～14,000",290,"11,730円",あり,30日分,GMP認定工場,thum04.png,"ga('send','event','result','click','');",https://shop.wellness-one.com/purazumarogen.html
5,オメガエイド,"～11,000･～14,000",240,"6,480円","～14,000",250,"5,832円",あり,30日分,不明確,thum05.png,"ga('send','event','result','click','');",https://www.suntory-kenko.com/contents/ad/40/lst/omg/id_a_2/
6,すらすらケア,"～5,000･～11,000･～14,000",180,"4,320円","～5,500･～14,000",200,"3,456円",あり,30日分,不明確,thum06.png,"ga('send','event','result','click','');",https://www.calpis-shop.jp/c/lp_lpscare/
7,プラズマローゲン18000,"～11,000･～14,000",260,"6,000円","～14,000",270,"980円",あり,30日分,GMP認定工場,thum07.png,"ga('send','event','result','click','');",https://www.teikoku.co.jp/database/pharmacare_bs/detail/?Code=GC79
8,きなり,"～11,000･～14,000",220,"6,151円","～5,500･～14,000",210,"1,980円",あり,30日分,不明確,thum08.png,"ga('send','event','result','click','');",https://sakura-forest.com/syouhin/kinari/
9,青魚の知恵,"～5,000･～11,000･～14,000",130,"2,160円","～3,000･～5,500･～14,000",160,"1,944円",あり,30日分,不明確,thum09.png,"ga('send','event','result','click','');",https://www.yazuya.com/items/dhaepa/aozakana/
10,DHA&EPA,"～5,000･～11,000･～14,000",170,"3,564円","～3,000･～5,500･～14,000",140,"3,207円",あり,30日分,GMP認定工場,thum10.png,"ga('send','event','result','click','');",http://cp.kenkoukazoku.co.jp/ad/dha/pc000101/index.html
11,サントリーのDHA&EPA,"～11,000･～14,000",230,"5,940円","～5,500･～14,000",230,"5,346円",あり,30日分,不明確,thum11.png,"ga('send','event','result','click','');",https://www.suntory-kenko.com/contents/ad/40/lst/dha/id_l/
12,サポートメモリー,"～11,000･～14,000",250,"12,960円","～14,000",260,"6,150円",あり,30日分,不明確,thum12.png,"ga('send','event','result','click','');",https://www.hapinesu.biz/daizuno1/
13,ルックルックDHA･EPAプレミアム,"～5,000･～11,000･～14,000",140,"2,460円","～3,000･～5,500･～14,000",170,"2,160円",あり,30日分,不明確,thum13.png,"ga('send','event','result','click','');",https://www.looklook.co.jp/product/dhaepa.php
14,イチョウリーフ,"～5,000･～11,000･～14,000",160,"3,348円","～3,000･～5,500･～14,000",190,"2,847円",あり,30日分,GMP認定工場,thum14.png,"ga('send','event','result','click','');",http://cp.kenkoukazoku.co.jp/dir_kkr/aff_80/index.html
15,みんなの味方 DHA,"～5,000･～11,000･～14,000",190,"4,536円","～5,500･～14,000",220,"3,985円",あり,30日分,不明確,thum16.png,"ga('send','event','result','click','');",http://www.nissui-kenko.com/products/products110.html
16,ＤＨＡ＆ＥＰＡオメガプラス,"～5,000･～11,000･～14,000",120,"1,851円","～3,000･～5,500･～14,000",150,"980円",あり,30日分,GMP認定工場,thum17.png,"ga('send','event','result','click','');",https://shop-miyabi.com/shopdetail/000000000146/kenko/page1/recommend/
17,山田養蜂場のDHA+EPA,"～5,000･～11,000･～14,000",150,"3,086円","～3,000･～5,500･～14,000",180,"2,700円",あり,30日分,不明確,thum18.png,"ga('send','event','result','click','');",http://www.3838.com/kenko/item/28044/
18,オメガ3クリルS,"～5,000･～11,000･～14,000",200,"5,940円","～3,000･～5,500･～14,000",120,"4,536円",あり,30日分,GMP認定工場,thum19.png,"ga('send','event','result','click','');",http://www.shiratori-wellpharma.co.jp/krill-s/index2.html
19,小林製薬のイチョウ葉,"～5,000･～11,000･～14,000",110,"1,566円","～3,000･～5,500･～14,000",130,"1,566円",あり,30日分,不明確,thum20.png,"ga('send','event','result','click','');",https://www2.kobayashi.co.jp/products/4/34200.html